910GHONROPK,Honor Oak Park Rail Station,NaptanRailStation,51.449989,-0.045505,london-overground,no,3,"Harringay Green Lanes Station,Green Lane,Harringay,Greater London,N4 1DR"
910GHOXTON,Hoxton Rail Station,NaptanRailStation,51.531512,-0.075681,london-overground,yes,5,"Harrow & Wealdstone,London Overground Ltd.,High Street,Harrow,HA3 5BP"
910GHRGYGL,Harringay Green Lanes Rail Station,NaptanRailStation,51.577182,-0.098144,london-overground,no,6,"Hatch End Railway Station,Station Approach,Hatch End,Greater London,HA5 4HU"
910GHROW,Harrow & Wealdstone Rail Station,NaptanRailStation,51.592169,-0.334571,london-overground,yes,2,"Kensington Olympia,Kensington Olympia Station,Olympia Way,LONDON,W14 0NE"
910GHTCHEND,Hatch End Rail Station,NaptanRailStation,51.609417,-0.368601,london-overground,yes,2,"Kensal Rise Railway Station,Chamberlayne Road,Kensal Rise,Greater London,NW10 3JN"
910GKENOLYM,Kensington (Olympia) Rail Station,NaptanRailStation,51.497899,-0.210364,london-overground,no,2,"Kensal Green,London Overground Ltd.,College Road,Kensal Green,HA10 5JT"
910GKENR,Kensal Rise Rail Station,NaptanRailStation,51.534554,-0.219957,london-overground,yes,3+4,"Kew Gardens Station,London Overground Ltd.,Station Approach,RICHMOND,TW9 3BZ"
910GKENSLG,Kensal Green Rail Station,NaptanRailStation,51.53054,-0.225088,london-overground,yes,2,"Kilburn High Road Railway Station,Kilburn High Road,Kilburn,NW6 5UA"
910GKEWGRDN,Kew Gardens Rail Station,NaptanRailStation,51.477073,-0.285054,london-overground,no,2,"Kentish Town West Railway Station,Prince Of Wales Road,Kentish Town,Greater London,NW5 3LR"
910GKLBRNHR,Kilburn High Road Rail Station,NaptanRailStation,51.537277,-0.192237,london-overground,yes,4,"Kenton,London Overground Ltd.,Kenton Road,Harrow,HA3 0AZ"
910GKNTSHTW,Kentish Town West Rail Station,NaptanRailStation,51.546548,-0.146655,london-overground,yes,3,"Leyton Midland Road station,Midland Road,Leyton,London,E10 6JT"
910GKTON,Kenton Rail Station,NaptanRailStation,51.581802,-0.316981,london-overground,yes,1,"Liverpool Street Underground Station Central,London Underground Ltd.,Liverpool Street,London,EC2M 7PP"
910GLEYTNMR,Leyton Midland Road Rail Station,NaptanRailStation,51.569725,-0.008051,london-overground,yes,2,"London Fields station,Mentmore Terrace,Hackney,London,E8 3PH"
910GLIVST,London Liverpool Street Rail Station,NaptanRailStation,51.517991,-0.081426,london-overground,no,3,"Leytonstone High Road station,High Road,Leytonstone,London,E11 4RE"
910GLONFLDS,London Fields Rail Station,NaptanRailStation,51.541153,-0.057753,london-overground,yes,2,"New Cross Road,New Cross,SE14 6AR"
910GLYTNSHR,Leytonstone High Road Rail Station,NaptanRailStation,51.563554,0.008416,london-overground,yes,4,"Norwood Junction station,Station Road,South Norwood,London,SE25 5AG"
910GNEWXGTE,New Cross Gate Rail Station,NaptanRailStation,51.475128,-0.040399,london-overground,no,2,"Amersham Vale,off New Cross Road,LONDON,London,SE14 6LD"
910GNORWDJ,Norwood Junction Rail Station,NaptanRailStation,51.397019,-0.075221,london-overground,no,4,"North Wembley,London Overground Ltd.,East Lane,Wembley,HA9 7NT"
910GNWCRELL,New Cross ELL Rail Station,NaptanRailStation,51.476344,-0.032441,london-overground,yes,2,"Rail Station,Queens Road,Peckham,London,SE15 2JR"
910GNWEMBLY,North Wembley Rail Station,NaptanRailStation,51.562596,-0.303984,london-overground,yes,2,"Station Arcade,Rye Lane,Peckham,London,SE15 5DQ"
910GPCKHMQD,Queens Road Peckham Rail Station,NaptanRailStation,51.473566,-0.057313,london-overground,yes,4,"Anerley Park,Penge,SE20 8NU"
910GPCKHMRY,Peckham Rye Rail Station,NaptanRailStation,51.470034,-0.069414,london-overground,yes,2,"Queen's Park,London Overground Ltd.,Salusbury Road,London,NW6 6NL"
910GPENEW,Penge West Rail Station,NaptanRailStation,51.417555,-0.06084,london-overground,yes,2,"Evering Road,Stoke Newington,N16 7SJ"
910GQPRK,Queens Park (London) Rail Station,NaptanRailStation,51.533966,-0.204985,london-overground,yes,4,"Richmond,London Underground Ltd.,The Quadrant,Richmond,TW9 1DN"
910GRCTRYRD,Rectory Road Rail Station,NaptanRailStation,51.558502,-0.068267,london-overground,yes,6,"South Street,Romford,RM1 1SX"
910GRICHMND,Richmond (London) Rail Station,NaptanRailStation,51.463061,-0.301558,london-overground,no,2,"Railway Avenue,Rotherhithe,SE16 4LF"
910GROMFORD,Romford Rail Station,NaptanRailStation,51.574829,0.183237,london-overground,yes,3,"South Acton Railway Station,Palmerston Road,Acton,Greater London,W3 8TG"
910GRTHERHI,Rotherhithe Rail Station,NaptanRailStation,51.500817,-0.052048,london-overground,yes,5,"Southbury Road,Enfield,EN3 4HW"
910GSACTON,South Acton Rail Station,NaptanRailStation,51.499695,-0.270157,london-overground,yes,3,"Seven Sisters Underground Station,London Underground Ltd.,Seven Sisters Rd,London"
910GSBURY,Southbury Rail Station,NaptanRailStation,51.648705,-0.052437,london-overground,no,2,"Cable Street,Shadwell,E1 2QF"
