stationNaptan,stationName,stopType,lat,lon,line,wifi,zone,address
940GZZLUEAC,Elephant & Castle Underground Station,NaptanMetroStation,51.49454,-0.100601,northern,yes,1+2,"Elephant & Castle Underground Station,London Underground Ltd.,London Rd,London,SE1 6LW"
940GZZLUEFY,East Finchley Underground Station,NaptanMetroStation,51.587138,-0.165008,northern,yes,3,"East Finchley Station,London Underground Ltd.,High Rd,London,N2 0NW"
940GZZLUEGW,Edgware Underground Station,NaptanMetroStation,51.613652,-0.274927,northern,yes,5,"Edgware Station,London Underground Ltd.,Station Rd,Edgware,Middx,HA8 7AW"
940GZZLUEMB,Embankment Underground Station,NaptanMetroStation,51.507062,-0.122662,northern,yes,1,"Embankment Station,London Underground Ltd.,Villiers St,London,WC2N 6NS"
940GZZLUEUS,Euston Underground Station,NaptanMetroStation,51.528094,-0.132061,northern,yes,1,"Euston Underground Station,London Underground Ltd.,Eversholt St,London,NW1 2DU"
940GZZLUFYC,Finchley Central Underground Station,NaptanMetroStation,51.600928,-0.192524,northern,yes,4,"Finchley Central Station,London Underground Ltd.,Regents Park Road,London,N3 2RY"
940GZZLUGDG,Goodge Street Underground Station,NaptanMetroStation,51.520603,-0.134357,northern,yes,1,"Goodge Street Station,London Underground Ltd.,75 Tottenham Court Rd,London,W1P 9PA"
940GZZLUGGN,Golders Green Underground Station,NaptanMetroStation,51.572265,-0.194036,northern,yes,3,"Golders Green Station,London Underground Ltd.,North End Rd,London,NW11 7RN"
940GZZLUHBT,High Barnet Underground Station,NaptanMetroStation,51.65054,-0.194295,northern,yes,5,"High Barnet Station,London Underground Ltd.,Barnet Hill,Barnet,Herts,EN5 5RP"
940GZZLUHCL,Hendon Central Underground Station,NaptanMetroStation,51.583307,-0.226423,northern,yes,3+4,"Hendon Central Station,London Underground Ltd.,Queens Rd,London,NW4 3AS"
940GZZLUHGT,Highgate Underground Station,NaptanMetroStation,51.577539,-0.145853,northern,yes,3,"Highgate Station,London Underground Ltd.,Archway Rd,London,N6"
940GZZLUHTD,Hampstead Underground Station,NaptanMetroStation,51.556638,-0.178484,northern,yes,2+3,"Hampstead Station,London Underground Ltd.,Hampstead High St,London,NW3 1QG"
940GZZLUKNG,Kennington Underground Station,NaptanMetroStation,51.488341,-0.105958,northern,yes,2,"Kennington Station,London Underground Ltd.,Kennington Park Rd,London,SE11 4QJ"
940GZZLUKSH,Kentish Town Underground Station,NaptanMetroStation,51.550318,-0.140729,northern,yes,2,"Kentish Town Underground Station,London Underground Ltd.,Kentish Town Rd,London,NW5 2AA"
940GZZLUKSX,King's Cross St. Pancras Underground Station,NaptanMetroStation,51.530668,-0.12319,northern,yes,1,"King's Cross St. Pancras,London Underground Ltd.,Euston Road,London,N1 9AL"
940GZZLULNB,London Bridge Underground Station,NaptanMetroStation,51.505725,-0.088867,northern,yes,1,"London Bridge Underground Station,London Underground Ltd.,21 Duke St Hill,London,SE1 2SW"
940GZZLULSQ,Leicester Square Underground Station,NaptanMetroStation,51.51139,-0.128421,northern,yes,1,"Leicester Square Station,London Underground Ltd.,Cranbourn St,London,WC2H 0AP"
940GZZLUMDN,Morden Underground Station,NaptanMetroStation,51.402144,-0.194838,northern,yes,4,"Morden Underground Station,London Underground Ltd.,London Rd,Morden,Surrey,SM4 5AZ"
940GZZLUMGT,Moorgate Underground Station,NaptanMetroStation,51.51818,-0.088317,northern,no,1,"Moorgate Station,London Underground Ltd.,Moorfields,London,EC2Y 9AE"
940GZZLUMHL,Mill Hill East Underground Station,NaptanMetroStation,51.608237,-0.209983,northern,yes,4,"Mill Hill East Station,London Underground Ltd.,Bittacy Hill,London,NW7 1BS"
940GZZLUMTC,Mornington Crescent Underground Station,NaptanMetroStation,51.534684,-0.138785,northern,yes,2,"Mornington Crescent Station,London Underground Ltd.,Eversholt St,London,NW1 2JA"
940GZZLUODS,Old Street Underground Station,NaptanMetroStation,51.525869,-0.087764,northern,yes,1,"Old Street Station,London Underground Ltd.,Old St,London,EC1Y 1BE"
940GZZLUOVL,Oval Underground Station,NaptanMetroStation,51.481853,-0.112434,northern,yes,2,"Oval Station,London Underground Ltd.,318 Kennington Park Rd,London,SE11 4PP"
940GZZLUSKW,Stockwell Underground Station,NaptanMetroStation,51.472188,-0.122639,northern,yes,2,"Stockwell Station,London Underground Ltd.,Clapham Rd,London,SW9 9AE"
940GZZLUSWN,South Wimbledon Underground Station,NaptanMetroStation,51.415311,-0.192003,northern,yes,3+4,"South Wimbledon Station,London Underground Ltd.,High St,London,SW19 1DE"
940GZZLUTAW,Totteridge & Whetstone Underground Station,NaptanMetroStation,51.630605,-0.179207,northern,yes,4,"Totteridge & Whetstone Station,London Underground Ltd.,Totteridge Lane,London,N20 9QP"
940GZZLUTBC,Tooting Bec Underground Station,NaptanMetroStation,51.435681,-0.159733,northern,yes,3,"Tooting Bec Station,London Underground Ltd.,Balham High Rd,London,SW17 9AH"
940GZZLUTBY,Tooting Broadway Underground Station,NaptanMetroStation,51.427633,-0.168371,northern,yes,3,"Tooting Broadway Station,London Underground Ltd.,Tooting High St,London,SW17 0SU"
940GZZLUTCR,Tottenham Court Road Underground Station,NaptanMetroStation,51.516431,-0.130406,northern,no,1,"Tottenham Court Road Station,London Underground Ltd.,Oxford St,London,W1"
940GZZLUTFP,Tufnell Park Underground Station,NaptanMetroStation,51.556828,-0.138429,northern,yes,2,"Tufnell Park Station,London Underground Ltd.,Fortess Rd,London,N19 5QB"
940GZZLUWFN,West Finchley Underground Station,NaptanMetroStation,51.609434,-0.188359,northern,yes,4,"West Finchley Station,London Underground Ltd.,Nether Street,London,N3 1NT"
940GZZLUWLO,Waterloo Underground Station,NaptanMetroStation,51.503303,-0.114776,northern,yes,1,"Waterloo Underground Station,London Underground Ltd.,York Rd,London,SE1 7ND"
940GZZLUWOP,Woodside Park Underground Station,NaptanMetroStation,51.618021,-0.185416,northern,yes,4,"Woodside Park Station,London Underground Ltd.,Woodside Park Rd,London,N12 8SE"
940GZZLUWRR,Warren Street Underground Station,NaptanMetroStation,51.524956,-0.138317,northern,yes,1,"Warren Street Station,London Underground Ltd.,Tottenham Court Rd,London,NW1 3AA"
