stationNaptan,stationName,stopType,lat,lon,line,wifi,zone,address
940GZZLUNKP,Northwick Park Underground Station,NaptanMetroStation,51.578481,-0.318056,metropolitan,yes,4,"Northwood Station,London Underground Ltd.,Station Approach,Green Lane,Northwood,Middx,HA6 2XL"
940GZZLUNOW,Northwood Underground Station,NaptanMetroStation,51.611053,-0.423829,metropolitan,yes,6,"Northwood Hills Station,London Underground Ltd.,Joel St,Northwood,Middx,HA6 1NZ"
940GZZLUNWH,Northwood Hills Underground Station,NaptanMetroStation,51.600572,-0.409464,metropolitan,yes,6,"Pinner Station,London Underground Ltd.,Station Approach,Pinner,Middx,HA5 5LZ"
940GZZLUPNR,Pinner Underground Station,NaptanMetroStation,51.592901,-0.381161,metropolitan,yes,5,"Preston Road Station,London Underground Ltd.,Preston Rd,Wembley,Middx,HA3 0PS"
940GZZLUPRD,Preston Road Underground Station,NaptanMetroStation,51.571972,-0.295107,metropolitan,yes,4,"Rickmansworth Station,London Underground Ltd.,Station Approach,Rickmansworth,Herts,WD3 1QY"
940GZZLURKW,Rickmansworth Underground Station,NaptanMetroStation,51.640207,-0.473703,metropolitan,yes,7,"Ruislip Manor Station,London Underground Ltd.,Victoria Rd,Ruislip,Middx,HA4 9AA"
940GZZLURSM,Ruislip Manor Underground Station,NaptanMetroStation,51.573202,-0.412973,metropolitan,yes,6,"Ruislip Station,London Underground Ltd.,Station Approach,Ruislip,Middx,HA4 8LD"
940GZZLURSP,Ruislip Underground Station,NaptanMetroStation,51.571354,-0.421898,metropolitan,yes,6,"Rayners Lane Station,London Underground Ltd.,Alexandra Avenue,Harrow,HA5 5EG,Middx"
940GZZLURYL,Rayners Lane Underground Station,NaptanMetroStation,51.575147,-0.371127,metropolitan,yes,5,"Uxbridge Station,London Underground Ltd.,High St,Uxbridge,Middx,UB8 1JZ"
940GZZLUUXB,Uxbridge Underground Station,NaptanMetroStation,51.546565,-0.477949,metropolitan,yes,6,"Watford Station,London Underground Ltd.,Cassiobury Park Avenue,Watford,Herts,WD18 7LE"
940GZZLUWAF,Watford Underground Station,NaptanMetroStation,51.657446,-0.417377,metropolitan,no,7,"West Harrow Station,London Underground Ltd.,Vaughan Rd,Harrow,Middx,HA1 4HE"
940GZZLUWHW,West Harrow Underground Station,NaptanMetroStation,51.57971,-0.3534,metropolitan,yes,5,"Willesden Green Station,London Underground Ltd.,Walm Lane,London,NW2 4QT"
940GZZLUWIG,Willesden Green Underground Station,NaptanMetroStation,51.549146,-0.221537,metropolitan,yes,2+3,"Wembley Park Station,London Underground Ltd.,Bridge Road,Wembley,Middlesex,HA9 9AA"
940GZZLUWYP,Wembley Park Underground Station,NaptanMetroStation,51.563198,-0.279262,metropolitan,yes,4,
