id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,name,host name
4948282,25502961,Haringey,51.58944554,-0.115364744,Entire home/apt,75,1,20,31/08/2015,2.86,1,31,Well connected luxury apartment,NA
4789847,24689153,Hackney,51.54637789,-0.074369636,Entire home/apt,75,2,12,31/08/2015,2.9,1,271,Dalston Penthouse,Tom
4067572,118456,Hackney,51.5458309,-0.061802351,Entire home/apt,75,3,4,31/08/2015,0.98,1,164,Lovely one bedroom in hackney,Itay
7868661,41469779,Hackney,51.53699339,-0.062079365,Entire home/apt,75,1,1,31/08/2015,1,1,12,Basic 2 Bedroom Flat Broadway Mkt,Nick
5087754,24443861,Brent,51.53521299,-0.248157983,Entire home/apt,75,2,23,31/08/2015,3.29,1,304,Fabulous Open Plan Loft Style Pad,Alice
6384905,1702869,Brent,51.53384966,-0.226832974,Entire home/apt,75,2,15,31/08/2015,4.79,1,132,Perfect for two,Vicky
1447685,2444776,Brent,51.53273616,-0.221501305,Entire home/apt,75,3,1,31/08/2015,1,1,1,Boutique garden flat in London,Mike
7432983,12633787,Westminster,51.51352469,-0.187136289,Entire home/apt,75,1,2,31/08/2015,2,2,279,Studio in the heart of London,Prasad
6342430,9915043,Hammersmith and Fulham,51.4988101,-0.238011153,Entire home/apt,75,2,4,31/08/2015,1.2,1,144,Beautiful Central London flat,Steffen
6934574,36356123,Lewisham,51.47718867,-0.045887688,Entire home/apt,75,3,2,31/08/2015,1.05,1,338,Quiet Garden Flat 7min to Central,Jay
3809272,19577292,Lambeth,51.47144793,-0.107616536,Entire home/apt,75,3,2,31/08/2015,2,1,263,Beautiful views over London skyline,Sally
6797406,6009615,Lambeth,51.46356714,-0.122403343,Entire home/apt,75,3,6,31/08/2015,2.95,1,290,Lovely London Flat Great Location,Alison
6464362,33762119,Southwark,51.45575238,-0.091291703,Entire home/apt,75,1,5,31/08/2015,2.5,1,304,Double bedroom flat North Dulwich,Christopher
6110207,19454389,Southwark,51.50127385,-0.053995448,Private room,74,2,16,31/08/2015,3.9,1,2,River room own balcony and ensuite,Alice
4124023,10014453,Islington,51.53744256,-0.117026168,Private room,73,1,14,31/08/2015,1.29,1,361,Comfy double bedroom available,Lisa
7570892,39693537,Islington,51.5488735,-0.124187246,Entire home/apt,73,2,1,31/08/2015,1,1,228,One Bedroom Flat Islington,Katie
637125,2701451,Westminster,51.51167367,-0.178283958,Entire home/apt,72,7,40,31/08/2015,1.43,1,267,Studio in Excellent Zone 1 Location,Derek
1065051,5434198,Camden,51.55330724,-0.134866652,Private room,70,2,76,31/08/2015,2.67,2,348,Spacious home in central London,NA
469187,1952786,Wandsworth,51.47386314,-0.163965778,Private room,70,1,71,31/08/2015,1.83,3,232,Double bedroom for short stays,Anne
558425,2746021,Hackney,51.55009867,-0.041168573,Entire home/apt,70,4,4,31/08/2015,0.33,1,5,Spacious EastEnd school conversion ,Raminta
2712946,8801273,Camden,51.54431051,-0.136142253,Entire home/apt,70,2,4,31/08/2015,0.98,1,200,1 bedroom flat near Camden,Simon
2048727,5711766,Hackney,51.53856756,-0.055419145,Entire home/apt,70,3,17,31/08/2015,4.77,1,50,studio flat in old warehouse,Alice And Chris
6205025,32179111,Camden,51.53623037,-0.145879418,Entire home/apt,70,2,3,31/08/2015,1.96,1,43,Very romantic flat in Camden Town,Rita
5119704,4473123,Camden,51.53312222,-0.138092709,Entire home/apt,70,1,25,31/08/2015,3.54,14,306,King s Cross Apartment 8 people,Danilo
513642,2530413,Westminster,51.52474889,-0.16060252,Entire home/apt,70,1,7,31/08/2015,0.52,1,253,Great cosy flat in central London ,Lea
4889325,10811728,Newham,51.51630912,0.055359059,Entire home/apt,70,1,13,31/08/2015,2.11,7,339,Open Plan One bedroom apartment ,Map
7834747,41260002,Southwark,51.50609212,-0.09567692,Entire home/apt,70,1,1,31/08/2015,1,1,0,Flat in the heart of London Bridge,Marlena
7550891,1876499,Wandsworth,51.46092955,-0.161668181,Entire home/apt,70,3,2,31/08/2015,2,1,12,Large Flat in the heart of Clapham,Mike
7895870,1032973,Westminster,51.51567592,-0.190669326,Private room,69,2,3,31/08/2015,3,1,8,Double room Private Roof Terrace,Michal
6444753,15175008,Hackney,51.54480882,-0.074904513,Entire home/apt,69,4,2,31/08/2015,0.73,2,140,Apartment in a perfect location ,Atiye
5256730,27199777,Hammersmith and Fulham,51.48912471,-0.206600121,Entire home/apt,69,1,15,31/08/2015,2.63,22,21,Double studio near Centre 10 26,Natalia
5876400,30110438,Westminster,51.52203511,-0.173513548,Private room,68,2,23,31/08/2015,5.66,1,310,We are family,Paola
2716634,13901411,Tower Hamlets,51.50770006,-0.067719489,Private room,67,1,26,31/08/2015,1.53,2,107,Room St Katherines Dock w priv bath,Ben
52940,157884,Barnet,51.58633503,-0.163916251,Private room,65,2,235,31/08/2015,3.93,3,117,You will LOVE this view,Agri Roger
55133,157884,Haringey,51.58410068,-0.161875796,Private room,65,2,192,31/08/2015,3.37,3,81,Results All Love this Room,NA
2392134,9007033,Camden,51.54431605,-0.150071313,Private room,65,1,82,31/08/2015,4.84,1,157,Ensuite Double Private Courtyard,Georgina And Rebecca
3186798,7899325,Hackney,51.5373735,-0.077743778,Private room,65,2,21,31/08/2015,1.5,4,304,Studio with Balcony near Shoreditch,Andrew
5377640,27878685,Hackney,51.53432356,-0.063375079,Private room,65,1,32,31/08/2015,5.58,1,355,Double room with en suite bathroom,Hattie
6221397,32264455,Kensington and Chelsea,51.51674794,-0.201821788,Private room,65,21,1,31/08/2015,1,1,102,Notting Hill Summer Let,Adrianne
5402674,28005326,Tower Hamlets,51.50776546,-0.009192304,Private room,65,1,16,31/08/2015,3.87,2,344,NICE PLACE IN LONDON CITY CENTRE,Habibur
7527710,32791160,Southwark,51.5052871,-0.103331514,Private room,65,1,5,31/08/2015,4.41,3,55,Spacious Room in Central London,Angela
7241413,37914094,Tower Hamlets,51.50307126,-0.025981515,Private room,65,1,2,31/08/2015,1.76,1,303,Private room in Canary Wharf,Mary
421079,897503,Lambeth,51.50157194,-0.10940753,Private room,65,2,119,31/08/2015,3.1,3,331,Beautiful Double Room in Waterloo,Theo Danielle
89432,486973,Westminster,51.49145256,-0.1305203,Private room,65,2,113,31/08/2015,2.26,1,299,Bright room Central London SW1,Kat
804018,3113819,Kensington and Chelsea,51.48037942,-0.186894367,Private room,65,1,103,31/08/2015,3.86,1,320,Chelsea Cosy Room Own Bathroom,Hagen
3531081,4889691,Wandsworth,51.45971489,-0.184952747,Private room,65,2,26,31/08/2015,1.87,1,348,Double room with private bathroom,Oliver
5575765,6806201,Hackney,51.52829973,-0.086593309,Entire home/apt,65,1,9,31/08/2015,2.97,2,214,2 Floor Flat in heart of London,Anna Jo
7863440,1659952,Merton,51.41460274,-0.233118659,Entire home/apt,65,1,1,31/08/2015,1,1,264,Spacious flat with private garden ,Liberty
5585603,2455222,Hackney,51.53939756,-0.047688496,Private room,64,2,10,31/08/2015,2.17,3,341,Large Double in Architectural Home,Jem
4052217,3194395,Islington,51.5405862,-0.095409503,Private room,62,1,22,31/08/2015,2.08,1,164,Lovely double room Angel Islington,The Gan S
4797671,24722041,Tower Hamlets,51.5219873,-0.076345588,Entire home/apt,61,1,2,31/08/2015,0.4,1,120,Entire Flat in Central London,Adi
5695615,26125674,Hackney,51.56314124,-0.101788066,Private room,60,1,4,31/08/2015,1.76,2,291,An oasis in north central London,Yan
7748507,40731444,Westminster,51.52960091,-0.204916441,Private room,60,1,1,31/08/2015,1,1,315,London Life,Esteban
7725170,34903320,Islington,51.52885256,-0.10130356,Private room,60,1,5,31/08/2015,5,2,28,A bright spacious room in Angel ,James
5471717,3017287,Tower Hamlets,51.5162764,-0.064420127,Private room,60,1,9,31/08/2015,2.18,2,352,Large Private Room by Brick Lane,Kal
6874072,22577859,Westminster,51.5159048,-0.17528117,Private room,60,1,3,31/08/2015,3,2,0,Double Room Near Hyde Park,James
5139805,26573070,Tower Hamlets,51.50743915,-0.027674283,Private room,60,2,22,31/08/2015,5.84,1,83,Comfy Double bed Private bathroom,Mark
340435,1727431,Hammersmith and Fulham,51.50689643,-0.226042804,Private room,60,2,56,31/08/2015,1.31,3,293,Shepherds Bush W12 Double Twin Room,Kenny
657841,3254439,Lambeth,51.48481868,-0.120948857,Private room,60,1,111,31/08/2015,3.12,4,354,Cosy room in central London,Peter
4337958,22522056,Lambeth,51.47715079,-0.121833947,Private room,60,1,54,31/08/2015,5.85,1,287,Private bathroom room breakfast,Marianna
495751,2448493,Lambeth,51.4622343,-0.138009894,Private room,60,1,145,31/08/2015,3.73,2,331,Charming en suite room in Clapham ,Claudia
4451913,23103107,Lewisham,51.44675418,-0.047436175,Private room,60,1,24,31/08/2015,2.53,2,365,Double Room Honor Oak Park london,NA
3747613,19166752,Wandsworth,51.44614416,-0.201772373,Private room,60,2,13,31/08/2015,1,1,325,Beautiful House in Southfields ,John
7161974,37419075,Hackney,51.55760705,-0.039651001,Entire home/apt,60,2,4,31/08/2015,3.08,1,57,Beautiful canal boat Little Gypsy ,Eleanor
599058,2963769,Westminster,51.51561545,-0.16655466,Entire home/apt,60,1,198,31/08/2015,5.4,2,272,Living in the heart of London,Tim
7833466,12817379,Southwark,51.4959657,-0.035407197,Entire home/apt,60,1,1,31/08/2015,1,2,299,Pretty flat by the water,Katerina
1007596,5527962,Hackney,51.54729117,-0.062285256,Private room,59,1,11,31/08/2015,4.4,1,356,London Fields Lovely Double Room,Kate
1934780,5221066,Tower Hamlets,51.5309627,-0.066982027,Private room,59,2,49,31/08/2015,2.29,1,342,Country cottage vibes in Shoreditch,Ruaridh
7213794,37761696,Hackney,51.52836038,-0.07822907,Private room,59,1,9,31/08/2015,5,3,72,Hoxton Loft Double Room,Eve
477451,1824642,Camden,51.51690205,-0.124641763,Private room,59,1,132,31/08/2015,3.34,12,338,Bloomsbury London Apartment 21 2,Maggie
3795616,1924491,Greenwich,51.48346871,-0.00280376,Private room,59,1,67,31/08/2015,5.55,1,357,Historic Art House LGBT Friendly,Oliver
4987269,5180884,Greenwich,51.48324611,-0.022610186,Private room,59,3,5,31/08/2015,0.77,2,181,Peaceful River Stay Greenwich,Sakshini
4677249,24190476,Hillingdon,51.48003287,-0.441879579,Private room,59,1,23,31/08/2015,4.34,1,353,HEATHROW AIRPORT 10 minutes away,Lord
7020636,20746371,Lewisham,51.46661767,-0.011214232,Entire home/apt,59,2,8,31/08/2015,5.45,2,64,2 Bedroom Apartment Central London,Willem
5493751,28488931,Richmond upon Thames,51.43586479,-0.330544311,Private room,58,1,10,31/08/2015,2.44,1,354,LOVELY ROOM BY THAMES IN TWICKENHAM,James
2585747,7791665,Tower Hamlets,51.50682276,-0.064544092,Private room,57,1,2,31/08/2015,1.28,1,312,Double room with ensuite Tower Hill,Valentina
