id,url,commonName,placeType,bikePointsNo,timeModified,nFilledDocks,nEmptyDocks,nTotalDocks,lat,lon
BikePoints_52,https://api-neon.tfl.gov.uk/Place/BikePoints_52,"Roscoe Street, St. Luke's",BikePoint,001026,2016-10-25T14:55:10.127Z,11,7,18,51.522954,-0.094934
BikePoints_53,https://api-neon.tfl.gov.uk/Place/BikePoints_53,"Grafton Street, Mayfair",BikePoint,003431,2016-10-25T14:55:10.127Z,6,12,18,51.509992,-0.143495
BikePoints_54,https://api-neon.tfl.gov.uk/Place/BikePoints_54,"Golden Lane, Barbican",BikePoint,000967,2016-10-25T14:40:08.437Z,22,4,27,51.521747,-0.094475
BikePoints_55,https://api-neon.tfl.gov.uk/Place/BikePoints_55,"Finsbury Circus, Liverpool Street",BikePoint,000984,2016-10-25T14:55:10.127Z,23,10,33,51.517075,-0.086685
BikePoints_56,https://api-neon.tfl.gov.uk/Place/BikePoints_56,"Paddington Street, Marylebone",BikePoint,001033,2016-10-25T13:34:56.47Z,3,11,15,51.520583,-0.154701
BikePoints_57,https://api-neon.tfl.gov.uk/Place/BikePoints_57,"Guilford Street , Bloomsbury",BikePoint,000974,2016-10-25T14:40:08.437Z,7,24,32,51.523346,-0.120202
BikePoints_58,https://api-neon.tfl.gov.uk/Place/BikePoints_58,"New Inn Yard, Shoreditch",BikePoint,001032,2016-10-25T14:35:06.733Z,14,3,20,51.524526,-0.079248
BikePoints_59,https://api-neon.tfl.gov.uk/Place/BikePoints_59,"Rodney Street, Angel",BikePoint,001014,2016-10-25T14:55:10.127Z,0,30,30,51.531768,-0.114329
BikePoints_60,https://api-neon.tfl.gov.uk/Place/BikePoints_60,"Lisson Grove, St. John's Wood",BikePoint,001030,2016-10-25T14:25:06.257Z,6,12,18,51.526448,-0.17219
BikePoints_61,https://api-neon.tfl.gov.uk/Place/BikePoints_61,"Great Dover Street, The Borough",BikePoint,001017,2016-10-25T14:50:09.387Z,2,31,33,51.497382,-0.089446
BikePoints_62,https://api-neon.tfl.gov.uk/Place/BikePoints_62,"Cotton Garden Estate, Kennington",BikePoint,000990,2016-10-25T15:00:12.38Z,8,16,24,51.490757,-0.106323
BikePoints_63,https://api-neon.tfl.gov.uk/Place/BikePoints_63,"Murray Grove , Hoxton",BikePoint,000989,2016-10-25T15:00:12.38Z,2,24,27,51.53089,-0.089782
BikePoints_64,https://api-neon.tfl.gov.uk/Place/BikePoints_64,"William IV Street, Strand",BikePoint,001028,2016-10-25T15:00:12.38Z,13,12,26,51.509462,-0.124749
BikePoints_65,https://api-neon.tfl.gov.uk/Place/BikePoints_65,"Gower Place , Euston",BikePoint,000969,2016-10-25T14:45:08.457Z,14,2,17,51.525227,-0.135188
BikePoints_66,https://api-neon.tfl.gov.uk/Place/BikePoints_66,"Holborn Circus, Holborn",BikePoint,000982,2016-10-25T14:45:08.457Z,17,22,40,51.51795,-0.108657
BikePoints_67,https://api-neon.tfl.gov.uk/Place/BikePoints_67,"Hatton Garden, Holborn",BikePoint,000985,2016-10-25T14:45:08.457Z,24,3,28,51.518825,-0.108028
BikePoints_68,https://api-neon.tfl.gov.uk/Place/BikePoints_68,"Theobald's Road , Holborn",BikePoint,000975,2016-10-25T15:00:12.38Z,22,3,26,51.520596,-0.116688
BikePoints_69,https://api-neon.tfl.gov.uk/Place/BikePoints_69,"Euston Road, Euston",BikePoint,000983,2016-10-25T14:40:08.437Z,7,17,24,51.526236,-0.134407
BikePoints_70,https://api-neon.tfl.gov.uk/Place/BikePoints_70,"Calshot Street , King's Cross",BikePoint,001066,2016-10-25T14:35:06.733Z,6,17,24,51.53136,-0.117069
BikePoints_71,https://api-neon.tfl.gov.uk/Place/BikePoints_71,"Newgate Street , St. Paul's",BikePoint,001074,2016-10-25T14:55:10.127Z,15,18,34,51.515418,-0.09885
BikePoints_72,https://api-neon.tfl.gov.uk/Place/BikePoints_72,"Farringdon Lane, Clerkenwell",BikePoint,003432,2016-10-25T15:00:12.38Z,4,12,16,51.52352,-0.10834
BikePoints_73,https://api-neon.tfl.gov.uk/Place/BikePoints_73,"Old Street Station, St. Luke's",BikePoint,001064,2016-10-25T15:00:12.38Z,27,10,37,51.525726,-0.088486
BikePoints_74,https://api-neon.tfl.gov.uk/Place/BikePoints_74,"Vauxhall Cross, Vauxhall",BikePoint,001000,2016-10-25T15:00:12.38Z,12,5,17,51.485917,-0.124469
BikePoints_75,https://api-neon.tfl.gov.uk/Place/BikePoints_75,"Torrens Street, Angel",BikePoint,001060,2016-10-25T14:30:06.073Z,3,16,19,51.532199,-0.10548
BikePoints_76,https://api-neon.tfl.gov.uk/Place/BikePoints_76,"Longford Street, The Regent's Park",BikePoint,000976,2016-10-25T14:05:02.94Z,16,5,21,51.525595,-0.144083
BikePoints_77,https://api-neon.tfl.gov.uk/Place/BikePoints_77,"Russell Square Station, Bloomsbury",BikePoint,000978,2016-10-25T14:55:10.127Z,12,13,26,51.523418,-0.124121
BikePoints_78,https://api-neon.tfl.gov.uk/Place/BikePoints_78,"Sadlers Sports Centre, Finsbury",BikePoint,003433,2016-10-25T14:20:04.423Z,7,9,17,51.524868,-0.099489
BikePoints_80,https://api-neon.tfl.gov.uk/Place/BikePoints_80,"Webber Street , Southwark",BikePoint,003448,2016-10-25T14:15:04.707Z,31,12,45,51.500693,-0.102091
BikePoints_81,https://api-neon.tfl.gov.uk/Place/BikePoints_81,"Great Titchfield Street, Fitzrovia",BikePoint,003450,2016-10-25T14:50:09.387Z,17,1,19,51.520253,-0.141327
BikePoints_83,https://api-neon.tfl.gov.uk/Place/BikePoints_83,"Panton Street, West End",BikePoint,003452,2016-10-25T14:55:10.127Z,20,1,21,51.509639,-0.13151
BikePoints_84,https://api-neon.tfl.gov.uk/Place/BikePoints_84,"Breams Buildings, Holborn",BikePoint,003449,2016-10-25T12:59:47.697Z,24,0,25,51.515937,-0.111778
BikePoints_85,https://api-neon.tfl.gov.uk/Place/BikePoints_85,"Tanner Street, Bermondsey",BikePoint,000994,2016-10-25T14:15:04.707Z,26,13,39,51.500647,-0.0786
BikePoints_86,https://api-neon.tfl.gov.uk/Place/BikePoints_86,"Sancroft Street, Vauxhall",BikePoint,003434,2016-10-25T14:35:06.733Z,2,22,24,51.489479,-0.115156
BikePoints_87,https://api-neon.tfl.gov.uk/Place/BikePoints_87,"Devonshire Square, Liverpool Street",BikePoint,003438,2016-10-25T14:15:04.707Z,16,0,16,51.516468,-0.079684
BikePoints_88,https://api-neon.tfl.gov.uk/Place/BikePoints_88,"Bayley Street , Bloomsbury",BikePoint,001006,2016-10-25T15:00:12.38Z,22,2,25,51.518587,-0.132053
BikePoints_89,https://api-neon.tfl.gov.uk/Place/BikePoints_89,"Tavistock Place, Bloomsbury",BikePoint,003439,2016-10-25T14:55:10.127Z,7,12,19,51.52625,-0.123509
BikePoints_90,https://api-neon.tfl.gov.uk/Place/BikePoints_90,"Harrington Square 1, Camden Town",BikePoint,001038,2016-10-25T14:15:04.707Z,22,4,27,51.533019,-0.139174
BikePoints_91,https://api-neon.tfl.gov.uk/Place/BikePoints_91,"Walnut Tree Walk, Vauxhall",BikePoint,001076,2016-10-25T14:20:04.423Z,13,7,20,51.493686,-0.111014
BikePoints_92,https://api-neon.tfl.gov.uk/Place/BikePoints_92,"Borough Road, Elephant & Castle",BikePoint,001082,2016-10-25T15:00:12.38Z,33,8,41,51.498898,-0.10044
BikePoints_93,https://api-neon.tfl.gov.uk/Place/BikePoints_93,"Cloudesley Road, Angel",BikePoint,002586,2016-10-25T13:39:58.18Z,10,25,37,51.534408,-0.109025
BikePoints_94,https://api-neon.tfl.gov.uk/Place/BikePoints_94,"Bricklayers Arms, Borough",BikePoint,001070,2016-10-25T15:00:12.38Z,4,24,28,51.495061,-0.085814
BikePoints_95,https://api-neon.tfl.gov.uk/Place/BikePoints_95,"Aldersgate Street, Barbican",BikePoint,001065,2016-10-25T15:00:12.38Z,7,7,15,51.520841,-0.09734
BikePoints_96,https://api-neon.tfl.gov.uk/Place/BikePoints_96,"Falkirk Street, Hoxton",BikePoint,001047,2016-10-25T14:45:08.457Z,5,21,26,51.53095,-0.078505
BikePoints_97,https://api-neon.tfl.gov.uk/Place/BikePoints_97,"Gloucester Road (North), Kensington",BikePoint,003447,2016-10-25T13:29:55.473Z,9,9,18,51.497924,-0.183834
BikePoints_98,https://api-neon.tfl.gov.uk/Place/BikePoints_98,"Hampstead Road, Euston",BikePoint,000972,2016-10-25T14:40:08.437Z,17,35,54,51.525542,-0.138231
BikePoints_99,https://api-neon.tfl.gov.uk/Place/BikePoints_99,"Old Quebec Street, Marylebone",BikePoint,001085,2016-10-25T14:20:04.423Z,11,5,16,51.514577,-0.158264
BikePoints_100,https://api-neon.tfl.gov.uk/Place/BikePoints_100,"Albert Embankment, Vauxhall",BikePoint,001059,2016-10-25T14:20:04.423Z,7,17,24,51.490435,-0.122806
BikePoints_101,https://api-neon.tfl.gov.uk/Place/BikePoints_101,"Queen Street 1, Bank",BikePoint,000999,2016-10-25T15:00:12.38Z,18,2,22,51.511553,-0.09294
BikePoints_102,https://api-neon.tfl.gov.uk/Place/BikePoints_102,"Jewry Street, Aldgate",BikePoint,001045,2016-10-25T14:45:08.457Z,17,0,17,51.513406,-0.076793
BikePoints_103,https://api-neon.tfl.gov.uk/Place/BikePoints_103,"Vicarage Gate, Kensington",BikePoint,003441,2016-10-25T14:55:10.127Z,5,13,18,51.504723,-0.192538
BikePoints_104,https://api-neon.tfl.gov.uk/Place/BikePoints_104,"Crosswall, Tower",BikePoint,000991,2016-10-25T14:30:06.073Z,34,0,34,51.511594,-0.077121
BikePoints_105,https://api-neon.tfl.gov.uk/Place/BikePoints_105,"Westbourne Grove, Bayswater",BikePoint,001041,2016-10-25T15:00:12.38Z,0,26,26,51.515529,-0.19024
BikePoints_106,https://api-neon.tfl.gov.uk/Place/BikePoints_106,"Woodstock Street, Mayfair",BikePoint,001042,2016-10-25T14:55:10.127Z,17,4,21,51.514105,-0.147301
BikePoints_107,https://api-neon.tfl.gov.uk/Place/BikePoints_107,"Finsbury Leisure Centre, St. Luke's",BikePoint,001049,2016-10-25T14:40:08.437Z,1,19,20,51.526008,-0.096317
BikePoints_108,https://api-neon.tfl.gov.uk/Place/BikePoints_108,"Abbey Orchard Street, Westminster",BikePoint,003429,2016-10-25T15:00:12.38Z,26,3,29,51.498125,-0.132102
BikePoints_109,https://api-neon.tfl.gov.uk/Place/BikePoints_109,"Soho Square , Soho",BikePoint,001052,2016-10-25T14:55:10.127Z,30,23,57,51.515631,-0.132328
BikePoints_110,https://api-neon.tfl.gov.uk/Place/BikePoints_110,"Wellington Road, St. John's Wood",BikePoint,001055,2016-10-25T14:40:08.437Z,3,13,17,51.533043,-0.172528
BikePoints_111,https://api-neon.tfl.gov.uk/Place/BikePoints_111,"Park Lane , Hyde Park",BikePoint,001037,2016-10-25T15:00:12.38Z,22,3,28,51.510017,-0.157275
BikePoints_112,https://api-neon.tfl.gov.uk/Place/BikePoints_112,"Stonecutter Street, Holborn",BikePoint,001061,2016-10-25T14:55:10.127Z,36,6,42,51.515809,-0.10527
BikePoints_113,https://api-neon.tfl.gov.uk/Place/BikePoints_113,"Gloucester Road (Central), South Kensington",BikePoint,003435,2016-10-25T14:50:09.387Z,0,19,19,51.496462,-0.183289
BikePoints_114,https://api-neon.tfl.gov.uk/Place/BikePoints_114,"Park Road (Baker Street), The Regent's Park",BikePoint,001050,2016-10-25T14:55:10.127Z,17,4,22,51.524517,-0.158963
BikePoints_115,https://api-neon.tfl.gov.uk/Place/BikePoints_115,"Braham Street, Aldgate",BikePoint,001062,2016-10-25T15:00:12.38Z,30,3,34,51.514233,-0.073537
BikePoints_116,https://api-neon.tfl.gov.uk/Place/BikePoints_116,"Little Argyll Street, West End",BikePoint,000995,2016-10-25T14:50:09.387Z,15,6,21,51.514499,-0.141423
BikePoints_117,https://api-neon.tfl.gov.uk/Place/BikePoints_117,"Lollard Street, Vauxhall",BikePoint,000998,2016-10-25T13:49:59.07Z,13,10,25,51.49288,-0.114934
BikePoints_118,https://api-neon.tfl.gov.uk/Place/BikePoints_118,"Rochester Row, Westminster",BikePoint,003457,2016-10-25T14:30:06.073Z,12,1,13,51.495827,-0.135478
BikePoints_119,https://api-neon.tfl.gov.uk/Place/BikePoints_119,"Bath Street, St. Luke's",BikePoint,000964,2016-10-25T14:45:08.457Z,10,8,18,51.525893,-0.090847
BikePoints_120,https://api-neon.tfl.gov.uk/Place/BikePoints_120,"The Guildhall, Guildhall",BikePoint,001044,2016-10-25T14:25:06.257Z,8,8,17,51.515735,-0.09308
BikePoints_121,https://api-neon.tfl.gov.uk/Place/BikePoints_121,"Baker Street, Marylebone",BikePoint,001086,2016-10-25T14:15:04.707Z,7,15,22,51.518913,-0.156166
BikePoints_122,https://api-neon.tfl.gov.uk/Place/BikePoints_122,"Norton Folgate, Liverpool Street",BikePoint,001068,2016-10-25T14:45:08.457Z,11,12,23,51.521113,-0.078869
BikePoints_123,https://api-neon.tfl.gov.uk/Place/BikePoints_123,"St. John Street, Finsbury",BikePoint,000992,2016-10-25T14:55:10.127Z,9,9,18,51.52836,-0.104724
BikePoints_124,https://api-neon.tfl.gov.uk/Place/BikePoints_124,"Eaton Square, Belgravia",BikePoint,001069,2016-10-25T14:35:06.733Z,11,9,20,51.496544,-0.150905
BikePoints_125,https://api-neon.tfl.gov.uk/Place/BikePoints_125,"Borough High Street, The Borough",BikePoint,000996,2016-10-25T14:45:08.457Z,18,3,21,51.500694,-0.094524
BikePoints_126,https://api-neon.tfl.gov.uk/Place/BikePoints_126,"Museum of London, Barbican",BikePoint,001043,2016-10-25T14:55:10.127Z,44,7,52,51.517821,-0.096496
BikePoints_127,https://api-neon.tfl.gov.uk/Place/BikePoints_127,"Wood Street, Guildhall",BikePoint,001063,2016-10-25T15:00:12.38Z,9,7,17,51.517008,-0.093885
BikePoints_128,https://api-neon.tfl.gov.uk/Place/BikePoints_128,"Emperor's Gate, South Kensington",BikePoint,001116,2016-10-25T14:15:04.707Z,3,19,22,51.495362,-0.185296
BikePoints_129,https://api-neon.tfl.gov.uk/Place/BikePoints_129,"Golden Square, Soho",BikePoint,003451,2016-10-25T13:04:47.213Z,18,0,18,51.511897,-0.137043
BikePoints_130,https://api-neon.tfl.gov.uk/Place/BikePoints_130,"Tower Gardens , Tower",BikePoint,001071,2016-10-25T15:00:12.38Z,16,8,24,51.509506,-0.075459
BikePoints_131,https://api-neon.tfl.gov.uk/Place/BikePoints_131,"Eversholt Street , Camden Town",BikePoint,001005,2016-10-25T14:40:08.437Z,10,6,16,51.533005,-0.136792
BikePoints_132,https://api-neon.tfl.gov.uk/Place/BikePoints_132,"Bethnal Green Road, Shoreditch",BikePoint,000973,2016-10-25T14:55:10.127Z,13,24,38,51.523648,-0.074754
BikePoints_133,https://api-neon.tfl.gov.uk/Place/BikePoints_133,"Derry Street, Kensington",BikePoint,003436,2016-10-25T14:50:09.387Z,5,11,18,51.501364,-0.191462
BikePoints_134,https://api-neon.tfl.gov.uk/Place/BikePoints_134,"Wapping High Street, Wapping",BikePoint,001039,2016-10-25T14:45:08.457Z,10,10,20,51.504904,-0.06797
